actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2019-03-28 23:47 CET,1,very good,urban,0,ABREA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,22,0,CHMI,17,12,0,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,urban,0,ACHOA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,28.9,0,CHMI,13,13.2,0,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,traffic,0,AKALA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,25.3,0,CHMI,21,21.3,0,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,suburban,0,AKOBA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,23.9,27.7,CHMI,29,13.8,0,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,3,fair,traffic,428,ALEGA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,52.6,0,CHMI,14,17.2,12,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,traffic,0,ALERA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,31.8,0,Letiste Pr,17,17.5,15,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,suburban,294,ALIBA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,29.3,19.6,CHMI,7.2,12.4,5.7,1.3,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,traffic,0,APRUA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,45.9,0,CHMI,16,20.8,0,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,urban,0,AREPA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,30.6,0,CHMI,19,19.4,0,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,suburban,0,ARERA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,25.4,0,ZU Usti nL,29,18.3,28,0,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,2,good,urban,0,ARIEA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,28.5,25.7,CHMI,7,13.3,10,1.3,2019-03-28 23:47:00.0
2019-03-28 23:47 CET,1,very good,traffic,0,ASMIA,2019-03-28 21:00:00.0 UTC,2019-03-28 22:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,18.6,0,CHMI,4,16.3,4,0,2019-03-28 23:47:00.0
